IP Range,Country,Region,City,Postal Code
52.97.151.0/24,NL,,AMSTERDAM,
52.97.152.128/25,NL,,AMSTERDAM,
52.97.153.160/27,NL,,AMSTERDAM,
52.97.155.0/25,NL,,AMSTERDAM,
52.97.157.0/24,NL,,AMSTERDAM,
52.97.158.0/24,NL,,AMSTERDAM,
52.97.159.0/25,NL,,AMSTERDAM,
52.97.162.0/23,NL,,AMSTERDAM,
52.97.167.216/29,NL,,AMSTERDAM,
52.97.167.224/27,NL,,AMSTERDAM,
52.97.168.0/27,NL,,AMSTERDAM,
52.97.168.32/29,NL,,AMSTERDAM,
52.97.168.48/28,NL,,AMSTERDAM,
52.97.168.224/27,NL,,AMSTERDAM,
52.97.169.0/27,NL,,AMSTERDAM,
52.97.170.32/27,NL,,AMSTERDAM,
52.97.170.64/27,NL,,AMSTERDAM,
52.97.170.128/25,NL,,AMSTERDAM,
52.97.171.0/25,NL,,AMSTERDAM,
52.97.171.192/27,NL,,AMSTERDAM,
52.97.171.224/29,NL,,AMSTERDAM,
52.97.172.128/25,NL,,AMSTERDAM,
52.97.174.40/29,NL,,AMSTERDAM,
52.97.174.56/29,NL,,AMSTERDAM,
52.97.174.64/27,NL,,AMSTERDAM,
52.97.174.128/25,NL,,AMSTERDAM,
52.97.175.128/25,NL,,AMSTERDAM,
52.97.176.0/26,NL,,AMSTERDAM,
52.97.176.64/29,NL,,AMSTERDAM,
52.97.176.88/29,NL,,AMSTERDAM,
52.97.176.128/25,NL,,AMSTERDAM,
52.97.178.32/27,NL,,AMSTERDAM,
52.97.178.96/27,NL,,AMSTERDAM,
52.97.178.128/25,NL,,AMSTERDAM,
52.97.179.0/25,NL,,AMSTERDAM,
52.97.179.128/29,NL,,AMSTERDAM,
52.97.179.144/29,NL,,AMSTERDAM,
52.97.179.192/27,NL,,AMSTERDAM,
52.97.180.128/25,NL,,AMSTERDAM,
52.97.181.112/28,NL,,AMSTERDAM,
52.97.181.128/25,NL,,AMSTERDAM,
52.97.183.160/27,NL,,AMSTERDAM,
52.97.183.192/27,NL,,AMSTERDAM,
52.97.184.0/24,NL,,AMSTERDAM,
52.97.185.64/29,NL,,AMSTERDAM,
52.97.186.224/27,NL,,AMSTERDAM,
52.97.187.0/25,NL,,AMSTERDAM,
52.97.191.160/27,NL,,AMSTERDAM,
52.97.192.0/24,NL,,AMSTERDAM,
52.97.193.0/26,NL,,AMSTERDAM,
52.97.193.128/25,NL,,AMSTERDAM,
52.97.194.0/23,NL,,AMSTERDAM,
52.97.196.0/24,NL,,AMSTERDAM,
52.97.197.0/25,NL,,AMSTERDAM,
52.97.197.128/27,NL,,AMSTERDAM,
52.97.200.0/26,NL,,AMSTERDAM,
52.97.200.64/27,NL,,AMSTERDAM,
52.97.200.96/28,NL,,AMSTERDAM,
52.97.200.128/26,NL,,AMSTERDAM,
52.97.201.64/26,NL,,AMSTERDAM,
52.97.201.128/26,NL,,AMSTERDAM,
52.97.202.128/26,NL,,AMSTERDAM,
52.97.204.0/25,NL,,AMSTERDAM,
52.97.204.128/27,NL,,AMSTERDAM,
52.97.204.224/27,NL,,AMSTERDAM,
52.97.207.64/26,NL,,AMSTERDAM,
52.97.207.128/25,NL,,AMSTERDAM,
52.97.210.176/28,NL,,AMSTERDAM,
52.97.212.0/27,NL,,AMSTERDAM,
52.97.212.32/28,NL,,AMSTERDAM,
52.97.212.128/27,NL,,AMSTERDAM,
52.97.212.192/26,NL,,AMSTERDAM,
52.97.213.112/28,NL,,AMSTERDAM,
52.97.213.128/27,NL,,AMSTERDAM,
52.97.215.224/27,NL,,AMSTERDAM,
52.97.217.0/25,NL,,AMSTERDAM,
